replay_buffer/top,trainer/num train calls,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/terminals Mean,trainer/terminals Std,trainer/terminals Max,trainer/terminals Min,trainer/Advantage Weights Mean,trainer/Advantage Weights Std,trainer/Advantage Weights Max,trainer/Advantage Weights Min,trainer/Advantage Score Mean,trainer/Advantage Score Std,trainer/Advantage Score Max,trainer/Advantage Score Min,trainer/V1 Predictions Mean,trainer/V1 Predictions Std,trainer/V1 Predictions Max,trainer/V1 Predictions Min,trainer/VF Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/grasp_success Mean,evaluation/env_infos/final/grasp_success Std,evaluation/env_infos/final/grasp_success Max,evaluation/env_infos/final/grasp_success Min,evaluation/env_infos/initial/grasp_success Mean,evaluation/env_infos/initial/grasp_success Std,evaluation/env_infos/initial/grasp_success Max,evaluation/env_infos/initial/grasp_success Min,evaluation/env_infos/grasp_success Mean,evaluation/env_infos/grasp_success Std,evaluation/env_infos/grasp_success Max,evaluation/env_infos/grasp_success Min,evaluation/env_infos/final/grasp_success_target Mean,evaluation/env_infos/final/grasp_success_target Std,evaluation/env_infos/final/grasp_success_target Max,evaluation/env_infos/final/grasp_success_target Min,evaluation/env_infos/initial/grasp_success_target Mean,evaluation/env_infos/initial/grasp_success_target Std,evaluation/env_infos/initial/grasp_success_target Max,evaluation/env_infos/initial/grasp_success_target Min,evaluation/env_infos/grasp_success_target Mean,evaluation/env_infos/grasp_success_target Std,evaluation/env_infos/grasp_success_target Max,evaluation/env_infos/grasp_success_target Min,evaluation/env_infos/final/place_success Mean,evaluation/env_infos/final/place_success Std,evaluation/env_infos/final/place_success Max,evaluation/env_infos/final/place_success Min,evaluation/env_infos/initial/place_success Mean,evaluation/env_infos/initial/place_success Std,evaluation/env_infos/initial/place_success Max,evaluation/env_infos/initial/place_success Min,evaluation/env_infos/place_success Mean,evaluation/env_infos/place_success Std,evaluation/env_infos/place_success Max,evaluation/env_infos/place_success Min,evaluation/env_infos/final/place_success_target Mean,evaluation/env_infos/final/place_success_target Std,evaluation/env_infos/final/place_success_target Max,evaluation/env_infos/final/place_success_target Min,evaluation/env_infos/initial/place_success_target Mean,evaluation/env_infos/initial/place_success_target Std,evaluation/env_infos/initial/place_success_target Max,evaluation/env_infos/initial/place_success_target Min,evaluation/env_infos/place_success_target Mean,evaluation/env_infos/place_success_target Std,evaluation/env_infos/place_success_target Max,evaluation/env_infos/place_success_target Min,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
275000,11000,0.0013371818,0.0017730063,-4120.754,3.3267608,0.3423125,4.3017945,3.1433868,3.340765,0.33431706,4.2799397,3.1132002,3.3376036,0.33937198,4.2047906,3.2047906,0.1328125,0.33937198,1.0,0.0,0.0,0.0,0.0,0.0,2.5607762,4.6552024,16.13319,0.59426236,0.033630207,0.33462736,0.9269595,-0.17347813,3.2371626,4.7683716e-07,3.237162,3.237162,0.075845726,0,0,2200,55,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036502656,0.23297015,0.9481027,-0.9662191,5,0.0,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.25,0.4330127018922193,True,False,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.25,0.4330127018922193,True,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,5.580663040997024,0.003555538998625707,0.36930388799737557,86.41579190899938,92.3693143769924,1032.5950213580036,10
275000,12000,0.005838746,0.0044030705,-4602.91,3.6461618,0.38877067,4.57489,3.4025886,3.6359673,0.3762528,4.55295,3.4253712,3.6682208,0.38063398,4.4924397,3.4924397,0.17578125,0.38063395,1.0,0.0,0.0,0.0,0.0,0.0,3.1561432,5.1773043,16.442263,0.6243484,0.077176884,0.37754554,0.933285,-0.15701556,3.5277174,4.7683716e-07,3.5277169,3.5277169,0.10060558,0,0,2400,60,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006282488,0.2279338,0.9053942,-0.94420975,5,0.0,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.195,0.3962007067131506,True,False,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.195,0.3962007067131506,True,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,4.358622224997816,0.0033868150021589827,0.2276044459977129,85.62177202600287,90.21138551200056,1122.8340881720032,11
275000,13000,0.00704383,0.009113325,-4243.205,3.9118247,0.35095528,4.8208804,3.6735027,3.9371424,0.35854968,4.9052286,3.7106647,3.9340258,0.35935384,4.781683,3.7816827,0.15234375,0.35935378,1.0,0.0,0.0,0.0,0.0,0.0,2.774336,4.852706,16.001236,0.5957536,0.047010228,0.35400283,0.924222,-0.17264271,3.8198814,0.0,3.8198814,3.8198814,0.08554785,0,0,2600,65,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03413728,0.2282963,0.9243288,-0.89811265,5,0.0,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.29,0.45376205218153715,True,False,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.29,0.45376205218153715,True,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,5.265861462998146,0.0038555099999939557,0.28064555099990685,85.06252914200013,90.61289166599818,1213.474718041005,12
275000,14000,0.0012533405,0.0018431765,-4618.9062,4.215135,0.3672469,5.1389437,3.9840353,4.2076206,0.3701674,5.126117,3.969717,4.228531,0.3667509,5.0683746,4.0683746,0.16015625,0.3667509,1.0,0.0,0.0,0.0,0.0,0.0,2.952014,5.0818224,17.37917,0.6340561,0.058158103,0.36463925,0.95175743,-0.15187263,4.10947,4.7683716e-07,4.1094694,4.1094694,0.09189525,0,0,2800,70,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048950337,0.25114012,0.9336827,-0.9289825,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,3.5815637849991617,0.003359887999977218,0.21975906000079704,85.62029234100191,89.42497507400185,1302.9294981470048,13
275000,15000,0.0027876382,0.0006020997,-5562.3354,4.5361953,0.37592426,5.3713074,4.2834196,4.5565305,0.39820728,5.4255614,4.2977033,4.5590353,0.4023248,5.35591,4.35591,0.203125,0.4023248,1.0,0.0,0.0,0.0,0.0,0.0,3.4705539,5.4585357,15.956663,0.6449347,0.09463295,0.3989041,0.92329216,-0.14620209,4.3999095,4.7683716e-07,4.399909,4.399909,0.11399372,0,0,3000,75,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009797221,0.22270888,0.93596125,-0.93871444,5,0.0,0.2,0.4000000000000001,True,False,0.0,0.0,False,False,0.21,0.40730823708832603,True,False,0.2,0.4000000000000001,True,False,0.0,0.0,False,False,0.21,0.40730823708832603,True,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,5.118199595999613,0.0034351759968558326,0.2094571800007543,86.34855453500131,91.67964648699854,1394.6350604070103,14
275000,16000,0.0034303016,0.0059824334,-4069.4253,4.7523007,0.34039542,5.675566,4.566487,4.731181,0.3358554,5.6551466,4.556619,4.780839,0.3435502,5.644121,4.644121,0.13671875,0.3435502,1.0,0.0,0.0,0.0,0.0,0.0,2.5151653,4.500905,15.879743,0.6044453,0.025459908,0.33988476,0.9216814,-0.16781473,4.691032,4.7683716e-07,4.6910315,4.6910315,0.07699034,0,0,3200,80,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011366232,0.22514012,0.9036826,-0.9742297,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,3.0800350470017293,0.0035679049979080446,0.23256315799881122,86.5976298309979,89.91379594099635,1484.576120562011,15
275000,17000,0.0021780138,0.0011730784,-4288.8447,5.0923815,0.36827,6.0170054,4.8902373,5.094478,0.35268033,5.9894214,4.87994,5.076455,0.35553315,5.928018,4.928018,0.1484375,0.35553312,1.0,0.0,0.0,0.0,0.0,0.0,2.7270598,4.7673855,15.506563,0.59295976,0.03830363,0.3558925,0.91375446,-0.1742096,4.977796,0.0,4.977796,4.977796,0.08532387,0,0,3400,85,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050370235,0.24625336,0.91189754,-0.8652311,5,0.0,0.2,0.4000000000000001,True,False,0.0,0.0,False,False,0.115,0.31902194281898544,True,False,0.2,0.4000000000000001,True,False,0.0,0.0,False,False,0.115,0.31902194281898544,True,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,4.108987416002492,0.003386766999028623,0.21994381900003646,86.32835737699861,90.66067537900017,1575.265866550999,16
275000,18000,0.006983872,0.0036346656,-4628.398,5.45792,0.39877424,6.380799,5.2174582,5.4417677,0.3772405,6.3037148,5.225849,5.391533,0.38063395,6.2157516,5.2157516,0.17578125,0.38063395,1.0,0.0,0.0,0.0,0.0,0.0,2.9776876,4.935571,15.592245,0.6339872,0.059155434,0.37419787,0.91559124,-0.15190887,5.2684355,4.7683716e-07,5.268436,5.268436,0.09614075,0,0,3600,90,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00264082,0.21995008,0.89678985,-0.9599199,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,3.2633509150000464,0.003377351000381168,0.22317791000023135,86.43061068899988,89.92051686500054,1665.2135585080032,17
275000,19000,0.0019480623,0.00058498874,-4949.333,5.715925,0.39104414,6.6003094,5.501772,5.6804533,0.3707086,6.542181,5.4397364,5.676321,0.38063395,6.5005393,5.5005393,0.17578125,0.38063395,1.0,0.0,0.0,0.0,0.0,0.0,3.0272,5.054235,15.7929325,0.5729312,0.05636209,0.37939492,0.91985416,-0.18566322,5.5560994,9.536743e-07,5.5561004,5.5561004,0.098286346,0,0,3800,95,40.0,0.0,40,40,0.005,0.07053367989832943,1.0,0.0,0.2,0.4000000000000001,1.0,0.0,0.049459256,0.2536597,0.9541245,-0.92952114,5,0.2,0.0,0.0,False,False,0.0,0.0,False,False,0.08,0.2712931993250107,True,False,0.0,0.0,False,False,0.0,0.0,False,False,0.08,0.2712931993250107,True,False,0.2,0.4000000000000001,True,False,0.0,0.0,False,False,0.005,0.07053367989832943,True,False,0.2,0.4000000000000001,True,False,0.0,0.0,False,False,0.005,0.07053367989832943,True,False,3.77991682100037,0.00341269300042768,0.22732091499710805,86.88217555099982,90.89282597999772,1756.1335806609968,18
275000,20000,0.0008076724,0.0007594428,-4573.044,5.973708,0.36866757,6.8357882,5.7470365,5.9785733,0.37162668,6.864586,5.7640676,5.9608455,0.38063395,6.785064,5.785064,0.17578125,0.38063395,1.0,0.0,0.0,0.0,0.0,0.0,2.9648194,4.935979,15.201623,0.6063297,0.052876197,0.3771977,0.90713406,-0.16677713,5.8434987,4.7683716e-07,5.843499,5.843499,0.096664056,0,0,4000,100,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004226644,0.21669285,0.9589073,-0.9846859,5,0.0,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.265,0.4413332074521472,True,False,0.4,0.48989794855663565,True,False,0.0,0.0,False,False,0.265,0.4413332074521472,True,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,4.955256028999429,0.0035736130012082867,0.2667217019989039,87.24106212400147,92.46661346800101,1848.6267960229961,19
